UNITID,Level of Student,Grand Total,Grand Total Men,Grand Total Women
109730,2,169,137,32
109785,1,11843,3943,7900
109785,2,6293,2147,4146
109785,4,5550,1796,3754
109819,1,36168,16542,19626
109819,2,36168,16542,19626
109907,1,4641,1655,2986
109907,2,4641,1655,2986
109934,1,345,110,235
109934,2,345,110,235
110060,1,476,284,192
110060,2,306,211,95
110060,4,170,73,97
110097,1,6522,2849,3673
110097,2,4159,1531,2628
110097,4,2363,1318,1045
110194,1,338,334,4
110194,2,338,334,4
110219,1,2087,776,1311
110219,2,2080,775,1305
110219,4,7,1,6
110246,1,13659,6338,7321
110246,2,13659,6338,7321
110316,1,1601,422,1179
110316,2,88,31,57
110316,4,1513,391,1122
110334,1,16514,7929,8585
110334,2,16514,7929,8585
110361,1,12862,4495,8367
110361,2,9104,3401,5703
110361,4,3758,1094,2664
110370,1,2136,802,1334
110370,2,1655,629,1026
110370,4,481,173,308
110398,1,1037,420,617
110398,4,1037,420,617
110404,1,2334,1489,845
110404,2,989,541,448
110404,4,1345,948,397
110413,1,5145,2183,2962
110413,2,3409,1499,1910
110413,4,1736,684,1052
110422,1,23278,11927,11351
110422,2,22130,11355,10775
110422,4,1148,572,576
110468,1,5610,1864,3746
110468,2,1896,861,1035
110468,4,3714,1003,2711
110486,1,12944,4851,8093
110486,2,11168,4316,6852
110486,4,1776,535,1241
110495,1,11821,3919,7902
110495,2,10307,3532,6775
110495,4,1514,387,1127
110510,1,21967,8600,13367
110510,2,19195,7625,11570
110510,4,2772,975,1797
110529,1,28547,15182,13365
110529,2,26549,14188,12361
110529,4,1998,994,1004
110538,1,19323,8847,10476
110538,2,18053,8476,9577
110538,4,1270,371,899
110547,1,18196,6534,11662
110547,2,14915,5557,9358
110547,4,3281,977,2304
110556,1,26765,10758,16007
110556,2,23304,9606,13698
110556,4,3461,1152,2309
110565,1,46588,19953,26635
110565,2,40350,17591,22759
110565,4,6238,2362,3876
110574,1,18549,7163,11386
110574,2,15116,5897,9219
110574,4,3433,1266,2167
110583,1,41344,17519,23825
110583,2,34674,15093,19581
110583,4,6670,2426,4244
110592,1,29963,12420,17543
110592,2,25613,10856,14757
110592,4,4350,1564,2786
110608,1,43348,19072,24276
110608,2,37218,17079,20139
110608,4,6130,1993,4137
110617,1,35644,15609,20035
110617,2,31969,14263,17706
110617,4,3675,1346,2329
110635,1,45183,22301,22882
110635,2,32700,15533,17167
110635,4,12483,6768,5715
110644,1,40623,16630,23993
110644,2,32863,13140,19723
110644,4,7760,3490,4270
110653,1,38105,18753,19352
110653,2,31386,15235,16151
110653,4,6719,3518,3201
110662,1,47103,21390,25713
110662,2,33703,14256,19447
110662,4,13400,7134,6266
110671,1,25816,12306,13510
110671,2,22286,10327,11959
110671,4,3530,1979,1551
110680,1,39811,20839,18972
110680,2,31840,16050,15790
110680,4,7971,4789,3182
110699,1,3185,1185,2000
110699,4,3185,1185,2000
110705,1,27685,13013,14672
110705,2,24638,11330,13308
110705,4,3047,1683,1364
110714,1,20839,10811,10028
110714,2,18774,9671,9103
110714,4,2065,1140,925
110778,1,2080,986,1094
110778,2,9,1,8
110778,4,2071,985,1086
110875,1,104,1,103
110875,2,104,1,103
110918,1,17,13,4
110918,2,17,13,4
111045,1,76,37,39
111045,2,18,5,13
111045,4,58,32,26
111054,1,305,115,190
111054,2,305,115,190
111081,1,1618,718,900
111081,2,1111,504,607
111081,4,507,214,293
111188,1,1122,937,185
111188,2,1091,911,180
111188,4,31,26,5
111391,1,848,367,481
