,UNITID,Grand Total,Grand Total Men ,Grand Total Women 
433,122612,3313,1200,2113
434,122649,34,16,18
435,122658,2252,857,1395
436,122685,3675,1141,2534
437,122728,411,166,245
438,122746,872,320,552
439,122755,9634,4553,5081
440,122791,1163,530,633
441,122834,180,48,132
442,122852,73,21,52
443,122889,1840,721,1119
444,122931,2542,1228,1314
445,122977,5699,2429,3270
446,123013,3764,1809,1955
447,123095,121,33,88
448,123165,262,10,252
449,123217,2197,906,1291
450,123280,13,7,6
451,123299,1026,407,619
452,123341,2430,965,1465
453,123350,57,8,49
454,123448,60,22,38
455,123457,259,75,184
456,123484,320,153,167
457,123493,169,55,114
458,123509,1045,444,601
459,123527,1403,680,723
460,123554,1139,390,749
461,123563,1225,470,755
462,123572,2590,925,1665
463,123633,122,63,59
464,123642,25,2,23
465,123651,545,188,357
466,123679,328,76,252
467,123800,2110,864,1246
468,123855,13,13,0
469,123916,20,10,10
470,123943,143,46,97
471,123952,178,97,81
472,123961,16228,7320,8908
473,123970,211,99,112
474,124113,471,164,307
475,124283,103,62,41
476,124292,83,42,41
477,124487,35,17,18
478,124681,480,125,355
479,124706,455,65,390
480,124937,362,113,249
481,125028,2096,812,1284
482,125037,34,17,17
483,125091,1447,610,837
484,125170,386,166,220
485,125231,13264,2496,10768
486,125310,31,3,28
487,125462,510,168,342
488,125471,982,398,584
489,125499,720,294,426
490,125532,2044,231,1813
491,125718,24,21,3
492,125727,290,119,171
493,125763,433,158,275
494,125897,305,141,164
495,126012,195,45,150
496,126049,145,63,82
497,126076,22,22,0
498,126119,871,337,534
499,126164,36,2,34
500,126182,894,365,529
501,126207,1551,742,809
502,126289,1470,559,911
503,126359,88,3,85
504,126562,5313,2092,3221
505,126580,2421,1059,1362
506,126605,173,168,5
507,126614,8157,4383,3774
508,126669,1173,359,814
509,126678,583,241,342
510,126687,557,78,479
511,126711,1317,613,704
512,126748,222,73,149
513,126775,1570,1089,481
514,126784,84,82,2
515,126818,7436,3545,3891
516,126827,5794,2447,3347
517,126863,811,297,514
518,126872,40,4,36
519,126915,131,38,93
520,126942,1238,394,844
521,126951,609,572,37
522,126979,209,115,94
523,127060,4015,1606,2409
524,127158,716,331,385
525,127185,655,316,339
526,127200,4118,1848,2270
527,127273,63,28,35
528,127316,204,16,188
529,127389,232,89,143
530,127556,1852,827,1025
531,127565,3419,1386,2033
532,127617,263,89,174
533,127653,269,82,187
534,127714,79,48,31
535,127732,394,200,194
536,127741,2935,867,2068
537,127778,360,167,193
538,127820,2993,1247,1746
539,127884,2336,1272,1064
540,127909,2147,1065,1082
541,127918,2577,870,1707
542,127945,184,56,128
543,127954,49,4,45
544,128106,803,376,427
545,128151,620,294,326
546,128179,311,237,74
547,128188,679,190,489
548,128258,567,234,333
549,128328,1003,742,261
550,128337,37,3,34
551,128391,499,260,239
552,128498,490,146,344
553,128577,389,251,138
554,128674,100,12,88
555,128744,1418,533,885
556,128771,2816,1282,1534
557,128780,623,202,421
558,128896,25,9,16
559,128902,403,145,258
560,129002,157,102,55
561,129020,8446,3858,4588
562,129154,889,213,676
563,129181,435,392,43
564,129215,1117,450,667
565,129242,1388,510,878
566,129349,128,4,124
567,129367,416,109,307
568,129428,24,22,2
569,129482,193,14,179
570,129491,46,22,24
571,129525,1919,844,1075
572,129534,118,82,36
573,129543,569,209,360
574,129695,793,359,434
575,129729,880,413,467
576,129756,385,150,235
577,129774,125,65,60
578,129808,538,214,324
579,129923,255,103,152
580,129932,777,725,52
581,129941,1851,906,945
582,130004,669,245,424
583,130040,186,47,139
584,130110,16,7,9
585,130174,1429,856,573
586,130183,1560,709,851
587,130217,251,118,133
588,130226,3063,1083,1980
589,130253,2660,827,1833
590,130314,860,110,750
591,130396,766,288,478
592,130493,2186,675,1511
593,130509,225,17,208
594,130590,537,284,253
